GeneSym	NA	GeneID
OLFM1	na	10439
BBC3	na	27113
BCL2L1	na	598
MDM2	na	4193
TP53	na	7157
CDKN2A	na	1029
HUWE1	na	10075
CASP2	na	835
CRADD	na	8738
PIDD1	na	55367
EPN1	na	29924
NUMB	na	8650
RALBP1	na	10928
CCNB1	na	891
CDK1	na	983
CCNB2	na	9133
GADD45B	na	4616
GADD45A	na	1647
CCNF	na	899
PTCH1	na	5727
GADD45G	na	10912
ESPL1	na	9700
PTTG1	na	9232
CCND1	na	595
CDKN1A	na	1026
CCND3	na	896
CDK6	na	1021
CCND2	na	894
CDK4	na	1019
CDKN2D	na	1032
SERTAD1	na	29950
CDKN2C	na	1031
FKBPL	na	63943
BLM	na	641
RMI1	na	80010
TOP3A	na	7156
C17ORF70	na	80233
FANCB	na	2187
FANCM	na	57697
FANCL	na	55120
FANCA	na	2175
FANCC	na	2176
FANCF	na	2188
FANCG	na	2189
FANCE	na	2178
RPA1	na	6117
RPA2	na	6118
RPA3	na	6119
CCNA2	na	890
CDK2	na	1017
LIG1	na	3978
POLA1	na	5422
POLA2	na	23649
PRIM1	na	5557
PRIM2	na	5558
POLD1	na	5424
POLD2	na	5425
POLD3	na	10714
POLD4	na	57804
POLE	na	5426
POLE2	na	5427
POLE4	na	56655
POLE3	na	54107
RFC1	na	5981
TOP1	na	7150
PCNA	na	5111
KIN	na	22944
EXO1	na	9156
MLH1	na	4292
PMS2	na	5395
MSH2	na	4436
MSH6	na	2956
PMS1	na	5378
HIST1H4C	na	8364
MSH3	na	4437
CHTF18	na	63922
CHTF8	na	54921
DSCC1	na	79075
POLH	na	5429
RAD17	na	5884
RFC2	na	5982
RFC4	na	5984
RFC3	na	5983
RFC5	na	5985
FEN1	na	2237
HUS1	na	3364
RAD9A	na	5883
RAD1	na	5810
NECAB3	na	63941
XPO5	na	57510
NR3C1	na	2908
CD28	na	940
NPM3	na	10360
BPTF	na	2186
CECR2	na	27443
SMARCA1	na	6594
AURKB	na	9212
BIRC5	na	332
INCENP	na	3619
CDCA8	na	55143
EVI5	na	7813
EIF1AX	na	1964
IPO13	na	9670
RAN	na	5901
SNUPN	na	10073
XPO1	na	7514
ENTPD1	na	953
RANBP1	na	5902
KPNB1	na	3837
DCP1A	na	55802
DCP2	na	167227
DDX6	na	1656
EDC3	na	80153
EDC4	na	23644
DIS3	na	22894
EXOSC1	na	51013
EXOSC6	na	118460
EXOSC5	na	56915
EXOSC7	na	23016
EXOSC8	na	11340
EXOSC3	na	51010
EXOSC9	na	5393
EXOSC10	na	5394
EXOSC4	na	54512
EXOSC2	na	23404
PARN	na	5073
XRN1	na	54464
XRN2	na	22803
NXF1	na	10482
TNPO2	na	30000
UPF1	na	5976
UPF2	na	26019
UPF3A	na	65110
UPF3B	na	65109
ETF1	na	2107
SMG1	na	23049
EIF3A	na	8661
EIF3B	na	8662
